product_id,product_name,product_price,product_cost
1,Obat Batuk Merdeka,18000,16000
2,Obat Batuk Anak Merdeka,20000,18000
3,Jamu Kunyit Cangkul Tani,5000,3000
4,Jamu Jahe Cangkul Tani,5000,3000
5,Jamu Maag Sarinah Ayu,5500,3500
6,Jamu Pusing Sarinah Ayu,5500,3500
7,Paracetamol Kaum Muda,9000,7000
8,Paracetamol Merdeka,9500,7500
9,Obat Flu Svetlana,3500,1500
10,Obat Flu Merdeka,4000,2000
11,Vitamin C Merdeka,12000,10000
12,Vitamin C Kaum Muda,9000,7000
13,Vitamin CDE Merdeka,15000,13000
14,Vitamin B Merdeka,12000,10000
15,Pil Kalsium Merdeka,25000,23000
16,Pil Kalsium Kaum Muda,18000,16000
17,Kain Kassa Marhaen,9000,7000
18,Kain Kassa Berdikari,15000,13000